# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.011299 0.001500
0.000417 0.001500
0.001160 0.003300
0.070023 0.001000
0.006730 0.001500
0.000000 0.000000
0.000000 0.009400
0.000000 0.003800
0.003196 0.001800
0.014369 0.003300
0.000000 0.003800
0.000000 0.003600
0.000000 0.004600
0.007232 0.003300
0.016025 0.002300
0.001200 0.002500
0.000000 0.004300
0.000000 0.003800
0.000000 0.005300
0.001007 0.003600
0.003023 0.004100
0.003093 0.005100
0.026718 0.002300
0.000217 0.005300
0.000093 0.000000
0.000000 0.008400
0.000000 0.004100
0.015803 0.002800
0.000048 0.001500
0.000201 0.002000
0.000017 0.001800
0.000000 0.003300
0.017745 0.004600
0.000000 0.004300
0.000000 0.003800
0.000000 0.005600
0.000622 0.006600
0.002307 0.005100
0.000000 0.008100
0.000000 0.003000
0.002113 0.002300
0.002250 0.002300
0.001196 0.002500
0.000514 0.000800
0.000000 0.003800
0.000000 0.006400
0.000000 0.006600
0.000000 0.005100
0.002352 0.005300
0.027245 0.003300
0.000000 0.006400
0.000000 0.006600
0.000000 0.009100
0.000000 0.009700
0.000000 0.004800
0.000000 0.004800
0.049639 0.000500
0.036795 0.001000
0.017625 0.001500
0.000000 0.005300
0.023004 0.001300
0.000000 0.004300
0.000000 0.007400
0.000000 0.006600
0.000000 0.005800
0.000000 0.007600
0.000000 0.006600
0.000000 0.007400
0.000000 0.006400
0.000466 0.003300
0.000000 0.008100
0.001150 0.007100
0.000157 0.004800
0.000000 0.005600
0.000364 0.005100
0.000187 0.005100
0.000000 0.007600
0.000000 0.007600
0.000000 0.008100
0.052203 0.001300
0.018206 0.001500
0.019197 0.002500
0.006587 0.006400
0.003815 0.005100
0.021950 0.004600
0.000056 0.005600
0.024710 0.004800
0.000150 0.005600
0.002243 0.006400
0.008145 0.001300
0.000137 0.005300
0.002703 0.005100
0.066261 0.001000
0.077994 0.002300
0.062489 0.005300
0.074325 0.009400
0.003042 0.004300
0.000138 0.005300
0.000000 0.006900
0.000000 0.007600
0.000000 0.007600
0.000000 0.008100
0.000000 0.006900
0.000000 0.006100
0.001722 0.006400
0.000842 0.006100
0.012590 0.004300
0.000000 0.004100
0.009018 0.005300
0.003026 0.007100
0.000255 0.006900
0.005313 0.007400
0.000003 0.009100
0.000324 0.007600
0.001052 0.008400
0.000000 0.010700
0.001948 0.007900
0.003880 0.008400
0.003386 0.007100
0.004110 0.008100
0.012326 0.006400
0.028240 0.009100
0.012429 0.005100
0.007984 0.001800
0.000000 0.007100
0.003389 0.006900
0.027430 0.006600
0.000003 0.006100
0.006869 0.010900
0.012204 0.006100
0.000458 0.005800
0.004386 0.005300
0.003030 0.002300
0.000000 0.008600
0.000000 0.006400
0.000000 0.008100
0.000056 0.008400
0.000770 0.007600
0.013854 0.006100
0.001953 0.002800
0.005094 0.006600
0.012806 0.005600
0.002187 0.006600
0.000243 0.007100
0.000065 0.005100
0.012167 0.006600
0.006195 0.008600
0.010152 0.005800
0.001604 0.004800
0.006213 0.003600
0.000167 0.006900
0.000000 0.006400
0.000000 0.005800
0.000000 0.008100
0.000230 0.007100
0.000017 0.006400
0.009238 0.004300
0.048201 0.002300
0.064872 0.001500
