# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.000547 0.001300
0.000000 0.002300
0.000000 0.001800
0.000000 0.002800
0.000076 0.001500
0.005481 0.002000
0.000051 0.002000
0.003159 0.001000
0.000201 0.001500
0.000120 0.001500
0.000120 0.003600
0.000000 0.002500
0.000000 0.001000
0.000000 0.002300
0.000000 0.002000
0.000000 0.002300
0.000000 0.002800
0.000000 0.003300
0.000007 0.002500
0.001290 0.002500
0.000017 0.000800
0.000192 0.001000
0.000000 0.001000
0.000000 0.002000
0.000120 0.001500
0.000000 0.002300
0.000011 0.003800
0.000886 0.002000
0.003172 0.002000
0.000452 0.002500
0.000106 0.000500
0.005419 0.000000
0.004685 0.000500
0.016425 0.000800
0.000000 0.001500
0.000000 0.001500
0.000000 0.002300
0.000000 0.001500
0.000509 0.001000
0.024558 0.002000
0.006394 0.000300
0.000000 0.002300
0.001012 0.002000
0.036515 0.002500
0.000000 0.002800
0.000163 0.003300
0.008465 0.001500
0.019371 0.000000
0.039420 0.000500
0.000919 0.002000
0.000796 0.001300
0.010781 0.001300
0.000000 0.002500
0.000000 0.001300
0.002259 0.001300
0.024836 0.000500
0.000035 0.000300
0.000000 0.000500
0.000018 0.001000
0.001336 0.001300
0.000000 0.001300
0.000000 0.002000
0.000000 0.001800
0.000301 0.000300
0.008575 0.001000
0.023327 0.001300
0.000272 0.000500
0.020571 0.001500
0.040322 0.000800
0.057001 0.000500
0.012290 0.001300
0.038343 0.010200
0.000000 0.001500
0.000000 0.001300
0.000000 0.000000
0.000000 0.003800
0.000000 0.006100
0.000000 0.002800
0.000000 0.003800
0.002260 0.001800
0.000000 0.001300
0.000072 0.001800
0.000026 0.000500
0.005239 0.000500
0.054079 0.001500
0.000000 0.002300
0.000163 0.002000
0.003996 0.000800
0.000600 0.003800
0.000000 0.000800
0.000000 0.002800
0.000168 0.002800
0.008921 0.000000
0.000003 0.001800
0.000734 0.001800
0.032167 0.001800
0.002291 0.000300
0.017268 0.000500
0.000188 0.000000
0.000000 0.002000
0.000131 0.001800
0.000029 0.001500
0.000101 0.002300
0.004039 0.002000
0.000729 0.001300
0.000487 0.002000
0.021552 0.003300
0.011887 0.001300
0.002495 0.000300
0.000913 0.002500
0.034576 0.001000
0.008415 0.000000
0.000103 0.003800
0.000000 0.002800
0.000005 0.002300
0.000000 0.001300
0.000000 0.002500
0.000328 0.003800
0.011578 0.003000
0.000000 0.003000
0.000000 0.003800
0.000000 0.003300
0.000000 0.003300
0.001008 0.003300
0.039684 0.002300
0.000000 0.004800
0.000000 0.003800
0.000000 0.005100
0.000000 0.006600
0.000000 0.007600
0.000802 0.005100
0.012996 0.001800
0.000007 0.005600
0.000000 0.005800
0.000079 0.004600
0.005036 0.001000
0.032400 0.004100
0.006459 0.001300
0.000097 0.003800
0.000000 0.001800
0.000000 0.003800
0.000000 0.006400
0.000482 0.003000
0.019952 0.004100
0.006040 0.002500
0.000000 0.007600
0.000000 0.004800
0.003668 0.006600
0.003564 0.000000
0.000000 0.004100
0.000000 0.005100
0.001704 0.004800
0.000000 0.003800
0.000000 0.004600
0.000000 0.006400
0.054568 0.002800
0.000019 0.005300
0.000000 0.006100
0.003111 0.001800
0.000003 0.002800
0.000020 0.003300
0.007859 0.005300
0.000160 0.005300
0.026190 0.002300
0.000000 0.005100
0.000000 0.003800
0.000000 0.003600
0.000000 0.004600
0.001813 0.003800
0.000000 0.006400
0.010839 0.005600
0.034361 0.001500
0.056274 0.000000
0.000000 0.003300
0.000000 0.006100
0.000000 0.003000
0.001094 0.003800
0.008832 0.001300
0.034432 0.001500
0.020748 0.000300
0.000868 0.001800
0.000000 0.006100
0.000008 0.003800
0.000000 0.006100
0.001318 0.003000
0.003168 0.006100
0.000000 0.003300
0.000000 0.003000
0.000000 0.006400
0.000000 0.005100
0.000000 0.003000
0.004365 0.004600
0.015281 0.002000
0.003897 0.002300
0.000847 0.003800
0.000903 0.007400
0.014909 0.008400
0.000000 0.006400
0.000000 0.004100
0.000000 0.003600
0.000000 0.007100
0.000000 0.008100
0.000000 0.007600
0.000000 0.007600
0.000004 0.005600
0.000008 0.006100
0.007347 0.007400
0.021101 0.003000
0.000085 0.003800
0.000000 0.007600
0.031183 0.004100
0.003249 0.001000
0.007942 0.004300
0.000005 0.005800
0.058929 0.005100
0.015567 0.004800
0.000149 0.007600
0.000000 0.006900
0.008012 0.007100
0.000000 0.007100
0.000000 0.005800
0.020467 0.005600
0.006951 0.004300
0.004713 0.003600
0.000393 0.003800
0.000000 0.004600
0.000000 0.005100
0.000000 0.005600
0.000006 0.006100
0.000041 0.006900
0.013236 0.006600
0.002570 0.004300
0.005588 0.005100
0.009389 0.005100
0.000017 0.005300
0.005148 0.003300
0.006907 0.003800
0.017009 0.004100
0.041392 0.001800
0.044090 0.001300
0.054356 0.003000
0.017029 0.003800
0.005977 0.003000
0.006695 0.007900
0.014237 0.004600
0.000381 0.003600
0.003388 0.001500
0.010316 0.004300
0.006992 0.000800
0.017877 0.002300
0.002592 0.003800
0.001690 0.007600
0.026822 0.004300
0.002923 0.006400
0.001168 0.006600
0.008553 0.005800
0.014963 0.008100
0.006756 0.005300
0.000123 0.007100
0.000609 0.003800
0.010137 0.007600
0.016079 0.005800
0.000275 0.002500
0.002179 0.006900
0.000000 0.004600
0.000421 0.006400
0.006554 0.003800
0.000072 0.004800
0.000046 0.005300
